Sample Name	Protocol REF	Parameter Value[Organism part]	Term Source REF	Term Accession Number	Parameter Value[Trait Definition File]	Assay Name	Raw Data File	Protocol REF	Derived Data File
Sample163	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay163	NA	Data transformation	d_polapgen_field2012.txt
Sample164	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay164	NA	Data transformation	d_polapgen_field2012.txt
Sample165	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay165	NA	Data transformation	d_polapgen_field2012.txt
Sample166	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay166	NA	Data transformation	d_polapgen_field2012.txt
Sample167	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay167	NA	Data transformation	d_polapgen_field2012.txt
Sample168	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay168	NA	Data transformation	d_polapgen_field2012.txt
Sample169	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay169	NA	Data transformation	d_polapgen_field2012.txt
Sample170	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay170	NA	Data transformation	d_polapgen_field2012.txt
Sample171	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay171	NA	Data transformation	d_polapgen_field2012.txt
Sample172	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay172	NA	Data transformation	d_polapgen_field2012.txt
Sample173	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay173	NA	Data transformation	d_polapgen_field2012.txt
Sample174	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay174	NA	Data transformation	d_polapgen_field2012.txt
Sample175	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay175	NA	Data transformation	d_polapgen_field2012.txt
Sample176	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay176	NA	Data transformation	d_polapgen_field2012.txt
Sample177	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay177	NA	Data transformation	d_polapgen_field2012.txt
Sample178	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay178	NA	Data transformation	d_polapgen_field2012.txt
Sample179	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay179	NA	Data transformation	d_polapgen_field2012.txt
Sample180	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay180	NA	Data transformation	d_polapgen_field2012.txt
Sample181	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay181	NA	Data transformation	d_polapgen_field2012.txt
Sample182	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay182	NA	Data transformation	d_polapgen_field2012.txt
Sample183	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay183	NA	Data transformation	d_polapgen_field2012.txt
Sample184	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay184	NA	Data transformation	d_polapgen_field2012.txt
Sample185	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay185	NA	Data transformation	d_polapgen_field2012.txt
Sample186	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay186	NA	Data transformation	d_polapgen_field2012.txt
Sample187	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay187	NA	Data transformation	d_polapgen_field2012.txt
Sample188	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay188	NA	Data transformation	d_polapgen_field2012.txt
Sample189	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay189	NA	Data transformation	d_polapgen_field2012.txt
Sample190	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay190	NA	Data transformation	d_polapgen_field2012.txt
Sample191	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay191	NA	Data transformation	d_polapgen_field2012.txt
Sample192	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay192	NA	Data transformation	d_polapgen_field2012.txt
Sample193	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay193	NA	Data transformation	d_polapgen_field2012.txt
Sample194	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay194	NA	Data transformation	d_polapgen_field2012.txt
Sample195	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay195	NA	Data transformation	d_polapgen_field2012.txt
Sample196	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay196	NA	Data transformation	d_polapgen_field2012.txt
Sample197	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay197	NA	Data transformation	d_polapgen_field2012.txt
Sample198	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay198	NA	Data transformation	d_polapgen_field2012.txt
Sample199	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay199	NA	Data transformation	d_polapgen_field2012.txt
Sample200	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay200	NA	Data transformation	d_polapgen_field2012.txt
Sample201	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay201	NA	Data transformation	d_polapgen_field2012.txt
Sample202	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay202	NA	Data transformation	d_polapgen_field2012.txt
Sample203	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay203	NA	Data transformation	d_polapgen_field2012.txt
Sample204	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay204	NA	Data transformation	d_polapgen_field2012.txt
Sample205	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay205	NA	Data transformation	d_polapgen_field2012.txt
Sample206	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay206	NA	Data transformation	d_polapgen_field2012.txt
Sample207	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay207	NA	Data transformation	d_polapgen_field2012.txt
Sample208	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay208	NA	Data transformation	d_polapgen_field2012.txt
Sample209	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay209	NA	Data transformation	d_polapgen_field2012.txt
Sample210	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay210	NA	Data transformation	d_polapgen_field2012.txt
Sample211	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay211	NA	Data transformation	d_polapgen_field2012.txt
Sample212	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay212	NA	Data transformation	d_polapgen_field2012.txt
Sample213	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay213	NA	Data transformation	d_polapgen_field2012.txt
Sample214	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay214	NA	Data transformation	d_polapgen_field2012.txt
Sample215	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay215	NA	Data transformation	d_polapgen_field2012.txt
Sample216	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay216	NA	Data transformation	d_polapgen_field2012.txt
Sample217	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay217	NA	Data transformation	d_polapgen_field2012.txt
Sample218	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay218	NA	Data transformation	d_polapgen_field2012.txt
Sample219	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay219	NA	Data transformation	d_polapgen_field2012.txt
Sample220	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay220	NA	Data transformation	d_polapgen_field2012.txt
Sample221	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay221	NA	Data transformation	d_polapgen_field2012.txt
Sample222	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay222	NA	Data transformation	d_polapgen_field2012.txt
Sample223	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay223	NA	Data transformation	d_polapgen_field2012.txt
Sample224	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay224	NA	Data transformation	d_polapgen_field2012.txt
Sample225	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay225	NA	Data transformation	d_polapgen_field2012.txt
Sample226	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay226	NA	Data transformation	d_polapgen_field2012.txt
Sample227	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay227	NA	Data transformation	d_polapgen_field2012.txt
Sample228	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay228	NA	Data transformation	d_polapgen_field2012.txt
Sample229	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay229	NA	Data transformation	d_polapgen_field2012.txt
Sample230	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay230	NA	Data transformation	d_polapgen_field2012.txt
Sample231	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay231	NA	Data transformation	d_polapgen_field2012.txt
Sample232	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay232	NA	Data transformation	d_polapgen_field2012.txt
Sample233	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay233	NA	Data transformation	d_polapgen_field2012.txt
Sample234	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay234	NA	Data transformation	d_polapgen_field2012.txt
Sample235	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay235	NA	Data transformation	d_polapgen_field2012.txt
Sample236	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay236	NA	Data transformation	d_polapgen_field2012.txt
Sample237	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay237	NA	Data transformation	d_polapgen_field2012.txt
Sample238	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay238	NA	Data transformation	d_polapgen_field2012.txt
Sample239	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay239	NA	Data transformation	d_polapgen_field2012.txt
Sample240	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay240	NA	Data transformation	d_polapgen_field2012.txt
Sample241	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay241	NA	Data transformation	d_polapgen_field2012.txt
Sample242	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay242	NA	Data transformation	d_polapgen_field2012.txt
Sample243	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay243	NA	Data transformation	d_polapgen_field2012.txt
Sample244	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay244	NA	Data transformation	d_polapgen_field2012.txt
Sample245	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay245	NA	Data transformation	d_polapgen_field2012.txt
Sample246	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay246	NA	Data transformation	d_polapgen_field2012.txt
Sample247	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay247	NA	Data transformation	d_polapgen_field2012.txt
Sample248	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay248	NA	Data transformation	d_polapgen_field2012.txt
Sample249	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay249	NA	Data transformation	d_polapgen_field2012.txt
Sample250	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay250	NA	Data transformation	d_polapgen_field2012.txt
Sample251	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay251	NA	Data transformation	d_polapgen_field2012.txt
Sample252	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay252	NA	Data transformation	d_polapgen_field2012.txt
Sample253	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay253	NA	Data transformation	d_polapgen_field2012.txt
Sample254	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay254	NA	Data transformation	d_polapgen_field2012.txt
Sample255	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay255	NA	Data transformation	d_polapgen_field2012.txt
Sample256	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay256	NA	Data transformation	d_polapgen_field2012.txt
Sample257	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay257	NA	Data transformation	d_polapgen_field2012.txt
Sample258	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay258	NA	Data transformation	d_polapgen_field2012.txt
Sample259	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay259	NA	Data transformation	d_polapgen_field2012.txt
Sample260	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay260	NA	Data transformation	d_polapgen_field2012.txt
Sample261	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay261	NA	Data transformation	d_polapgen_field2012.txt
Sample262	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay262	NA	Data transformation	d_polapgen_field2012.txt
Sample263	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay263	NA	Data transformation	d_polapgen_field2012.txt
Sample264	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay264	NA	Data transformation	d_polapgen_field2012.txt
Sample265	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay265	NA	Data transformation	d_polapgen_field2012.txt
Sample266	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay266	NA	Data transformation	d_polapgen_field2012.txt
Sample267	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay267	NA	Data transformation	d_polapgen_field2012.txt
Sample268	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay268	NA	Data transformation	d_polapgen_field2012.txt
Sample269	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay269	NA	Data transformation	d_polapgen_field2012.txt
Sample270	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay270	NA	Data transformation	d_polapgen_field2012.txt
Sample271	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay271	NA	Data transformation	d_polapgen_field2012.txt
Sample272	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay272	NA	Data transformation	d_polapgen_field2012.txt
Sample273	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay273	NA	Data transformation	d_polapgen_field2012.txt
Sample274	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay274	NA	Data transformation	d_polapgen_field2012.txt
Sample275	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay275	NA	Data transformation	d_polapgen_field2012.txt
Sample276	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay276	NA	Data transformation	d_polapgen_field2012.txt
Sample277	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay277	NA	Data transformation	d_polapgen_field2012.txt
Sample278	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay278	NA	Data transformation	d_polapgen_field2012.txt
Sample279	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay279	NA	Data transformation	d_polapgen_field2012.txt
Sample280	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay280	NA	Data transformation	d_polapgen_field2012.txt
Sample281	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay281	NA	Data transformation	d_polapgen_field2012.txt
Sample282	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay282	NA	Data transformation	d_polapgen_field2012.txt
Sample283	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay283	NA	Data transformation	d_polapgen_field2012.txt
Sample284	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay284	NA	Data transformation	d_polapgen_field2012.txt
Sample285	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay285	NA	Data transformation	d_polapgen_field2012.txt
Sample286	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay286	NA	Data transformation	d_polapgen_field2012.txt
Sample287	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay287	NA	Data transformation	d_polapgen_field2012.txt
Sample288	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay288	NA	Data transformation	d_polapgen_field2012.txt
Sample289	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay289	NA	Data transformation	d_polapgen_field2012.txt
Sample290	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay290	NA	Data transformation	d_polapgen_field2012.txt
Sample291	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay291	NA	Data transformation	d_polapgen_field2012.txt
Sample292	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay292	NA	Data transformation	d_polapgen_field2012.txt
Sample293	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay293	NA	Data transformation	d_polapgen_field2012.txt
Sample294	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay294	NA	Data transformation	d_polapgen_field2012.txt
Sample295	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay295	NA	Data transformation	d_polapgen_field2012.txt
Sample296	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay296	NA	Data transformation	d_polapgen_field2012.txt
Sample297	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay297	NA	Data transformation	d_polapgen_field2012.txt
Sample298	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay298	NA	Data transformation	d_polapgen_field2012.txt
Sample299	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay299	NA	Data transformation	d_polapgen_field2012.txt
Sample300	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay300	NA	Data transformation	d_polapgen_field2012.txt
Sample301	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay301	NA	Data transformation	d_polapgen_field2012.txt
Sample302	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay302	NA	Data transformation	d_polapgen_field2012.txt
Sample303	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay303	NA	Data transformation	d_polapgen_field2012.txt
Sample304	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay304	NA	Data transformation	d_polapgen_field2012.txt
Sample305	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay305	NA	Data transformation	d_polapgen_field2012.txt
